INFO:root:Directory: DirectoryInfo(name='.git', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='.pytest_cache', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='.vscode', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW12', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_1', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_10', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_11', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_13', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_14', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_15', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_2', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_3', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_4', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_5', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_6', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_7', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_8', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='HW_9', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:File: DirectoryInfo(name='.DS_Store', extension='', is_directory=False, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:File: DirectoryInfo(name='README', extension='.md', is_directory=False, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/')
INFO:root:Directory: DirectoryInfo(name='branches', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/.git')
INFO:root:Directory: DirectoryInfo(name='hooks', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/.git')
INFO:root:Directory: DirectoryInfo(name='info', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/.git')
INFO:root:Directory: DirectoryInfo(name='logs', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/.git')
INFO:root:Directory: DirectoryInfo(name='objects', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/.git')
INFO:root:Directory: DirectoryInfo(name='refs', extension=None, is_directory=True, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/.git')
INFO:root:File: DirectoryInfo(name='COMMIT_EDITMSG', extension='', is_directory=False, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/.git')
INFO:root:File: DirectoryInfo(name='FETCH_HEAD', extension='', is_directory=False, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/.git')
INFO:root:File: DirectoryInfo(name='FETCH_HEAD (MacBook-Pro-Anton', extension='.local conflicted copy 2023-06-26 17 22 32)', is_directory=False, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/.git')
INFO:root:File: DirectoryInfo(name='HEAD', extension='', is_directory=False, parent='/Users/antonkonycev/Library/Containers/Mail.Ru.DiskO.as/Data/Disk-O.as.mounts/banderas91@mail.ru-mailru/Geek/HW_Python/python_HW/.git')
